Living around Paya Lebar,Good Memories,Frequency of Visit,Visit Paya Lebar with,Current state-Social Offerings Rating,Current state-Openness Rating,Current state-Aesthetics/Amenities Rating,Current state-Cultural Heritage Rating,Love Playground,Good Memories of Food,Restricted by Security Guard,Accessible/Convenient,Green/Blue Spaces,Spacious/Openness for the Place,Convenient for Study/Working,Miss old Paya Lebar,Public Spaces are Loveable
3 to 5 Years,Yes,1-2/week,Friends,5,5,5,5,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
6 to 10 Years,Yes,Everyday,Family,3,3,5,3,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
0 to 2 Years,Yes,Everyday,Friends,2,4,3,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No
3 to 5 Years,No,Everyday,Friends,1,5,3,3,Yes,Yes,Yes,Yes,No,Yes,No,No,No
3 to 5 Years,No,1-2/week,Family,2,5,2,3,Yes,Yes,Yes,Yes,No,No,No,Yes,No
3 to 5 Years,Yes,Everyday,Friends,4,3,4,5,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
0 to 2 Years,No,Everyday,Family,2,2,3.5,1,Yes,Yes,Yes,Yes,No,Yes,No,No,No
more than 10 Years,No,Everyday,Friends,2,4,3,2,No,Yes,Yes,Yes,No,Yes,No,No,No
No,Yes,1-2/week,Alone,4,3,4,4,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
more than 10 Years,Yes,Everyday,Family,4,4,5,4,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
more than 10 Years,Yes,1-2/week,Family,4,4,4,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
No,Yes,3-6/week,Family,2,3,3,4,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
3 to 5 Years,No,1-2/week,Friends,3,4,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
3 to 5 Years,Yes,1-2/week,Family,3,3,3,4,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
3 to 5 Years,Yes,1-2/week,Family,2,3,4,3,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
